Countryname,Population,Gdp,Literacy,Birthrate,Deathrate,Area,Currency,Capital
Pakistan ,"24,24,33,956","34,826.25 crores USD",56.44%,26.042 births/1000 people,"7.2 per 1,000 people","881,913 square Km",Pakistani Rupee,Islamabad
Panama ,"44,92,693","6,360.51 crores USD",95.04%,17.885 births/1000 people,"5.9 per 1,000 people","75,517 km²",United States Dollar ,Panama City
Paraguay ,"68,96,778","3,949.54 crores USD",95.54%,19.408 births/1000 people,"7.4 per 1,000 people","406,752 km²",Paraguay guarani,Asuncion
Peru ,"3,44,88,887","22,324.95 crores USD",94.37%,16.941 births/1000 people,"5.889 per 1,000 people",1.285 million km²,Sol,Lima
Philippines ,"11,80,68,505","39,408.64 crores USD",96.62%,19.579 births/1000 people,"5.6 per 1,000 people","300,000 km²",Philippine peso,Manila
Poland ,"4,06,90,016","67,944.48 crores USD",99.79%,9.154 births/1000 people,"10.651 per 1,000 people","322,575 km²",Polish Zloty,Warsaw
Portugal ,"1,02,37,558","25,366.31 crores USD",95.43%,7.665 births/1000 people,"11.146 per 1,000 people","92,152 km²",Euro,Lisbon
Qatar ,"27,24,910","17,967.72 crores USD",97.76%,8.331 births/1000 people,"1.458 per 1,000 people","11,571 km²",Qatari Riyal,Doha
Romania ,"1,97,77,995","28,408.76 crores USD",98.76%,9.292 births/1000 people,"16.4 per 1,000 people","238,397 km²",Romanian Leu,Bucharest
Russia ,"14,44,44,359",1.78 lakh crores USD,99.72%,11.329 births/1000 people,"12.9 per 1,000 people",17.1 million km²,Russian Ruble,Moscow 
Saudi Arabia ,"3,71,63,469","83,354.12 crores USD",94.84%,15.700 births/1000 people,"3.687 per 1,000 people",2.15 million km²,Saudi Riyal,Riyadh
Serbia ,"71,27,466","6,308.2 crores USD",98%,9.056 births/1000 people,"13.280 per 1,000 people","88,499 km²",Serbian Dinar,Belgrade
Singapore ,"60,30,388","39,698.69 crores USD",96.77%,8.336 births/1000 people,"5.8 per 1,000 people",734.3 km²,Singapore Dollar,Singapore
Slovakia ,"57,56,680","11,652.71 crores USD",99.60%,9.813 births/1000 people,"10.167 per 1,000 people","49,035 km²",Euro,Bratislava
South Africa ,"6,06,63,839","41,901.5 crores USD",94.60%,18.994 births/1000 people,"11.43 per 1,000 people",1.22 million km²,South African Rand,Pretoria
Spain ,"4,75,00,863",1.43 lakh crores USD,98.11%,7.889 births/1000 people,"10.11 per 1,000 people","506,030 km²",Euro,Madrid
Sri Lanka ,"2,18,93,579","8,892.73 crores US",92.61%,14.544 births/1000 people,"7.3 per 1,000 people","65,610 km²",Sri Lankan Rupee,Colombo
Sudan ,"4,86,19,230","3,432.61 crores USD",58.60%,30.721 births/1000 people,"6.8 per 1,000 people",1.886 million km²,Sudanese pound,Khartoum
Sweden ,"1,06,37,489","63,566.38 crores USD",99%,11.733 births/1000 people,"9.086 per 1,000 people","447,425 square Km",Swedish Krona,Stockholm
Switzerland ,"88,19,254","80,064.02 crores USD",99%,10.082 births/1000 people,"8.2 per 1,000 people","41,285 km²",Swiss Franc,Bern
Syria ,"2,36,79,971","1,107.98 crores USD",86.30%,20.11 births/1000 people,"5 per 1,000 people","185,180 km²",Syrian Pound,Damascus
Taiwan ,"2,39,34,414",790.7 billion USD,96.10%,8.394 births/1000 people,"8.148 per 1,000 people","36,197 km²",New Taiwan dollar,Taipei
Thailand ,"7,18,36,224","50,594.7 crores USD",93.98%,9.532 births/1000 people,"7.5 per 1,000 people","513,120 km²",Thai Baht ,Bangkok
Turkey ,"8,59,99,499","81,903.52 crores USD",95.69%,14.894 births/1000 people,"6.4 per 1,000 people","783,562 km²",Turkish lira,Ankara
Uganda ,"4,91,29,975","4,052.98 crores USD",73.81%,35.135 births/1000 people,"5.6 per 1,000 people","241,038 km²",Ugandan Shilling,Kampala
Ukraine ,"3,72,30,430","20,008.55 crores USD",99.76%,8.1 births/1000 people,"18.5 per 1,000 people","603,628 km2",Ukrainian hryvnia,Kiev
United Arab Emirates ,"95,47,770","41,502.16 crores USD",92.99%,9.929 births/1000 people,"1.9 per 1,000 people","83,600 km²",United Arab Emirates Dirham,Abu Dhabi
United Kingdom ,"6,78,29,581",3.13 lakh crores USD,99%, 30.3 births/1000 people,"10.3 per 1,000 people","243,610 km²",Pound sterling,London
United States ,"34,07,51,577",23.32 lakh crores USD,99%,11.990 births/1000 people,"9.172 per 1,000 people",9.834 million km²,United States Dollar,"Washington, D.C"
Uruguay ,"34,23,194","5,931.95 crores USD",98.44%,13.274 births/1000 people,"9.9 per 1,000 people","176,215 km²",Uruguayan peso ,Montevideo
Vietnam ,"9,91,22,344","36,613.76 crores USD",94.51%,15.141 births/1000 people,"7.32 per 1,000 people","331,690 km²",Vietnamese dong,Hanoi
Yemen ,"3,47,64,886","2,160.62 crores USD",69.96%,27.938 births/1000 people,"6.84 per 1,000 people","555,000 km²",Yemeni Rial,Sanaa
Zimbabwe ,"1,68,10,698","2,837.12 crores USD",86.87%,27.689 births/1000 people,"9.06 per 1,000 people","390,745 km²",United States Dollar,Harare
